Course Code,Name,Description,Prerequisites,Corequisites,Exclusions,Recommended_prep,Distribution,Hours,Delivery Mode
ECO466H5,Empirical Macroeconomics and Policy,"Students will increase their data literacy and learn how to apply techniques to address policy issues. The topics covered will include the practical design of monetary policy, the rationale for current monetary policy in Canada, and statistical methods for predicting key macroeconomic variables. As part of the course, students will follow current global issues and will forecast how domestic and international events may alter the Bank of Canada's monetary policy in the short run. Students will team-up with their classmates, discuss their individual forecasts, and select one for a group presentation. Traditionally, at the end of the course, a team fromECO466H5is chosen to compete in the Bank of Canada Governor’s Challenge.","ECO325H5and [ECO220Y5orECO227Y5or (1.0 credit fromSTA256H5,STA258H5,STA260H5)] or Permission of Instructor/Department.",,"ECO402H5Special Topics: Empirical Macroeconomics and Policy (20199),ECO466H1",ECO375H5,Social Science,24L,In Class
ENG201Y5,Reading Poetry,"An introduction to poetry, through a close reading of texts, focusing on its traditional forms, themes, techniques, and uses of language; its historical and geographical range; and its twentieth-century diversity.",Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,ENG204H5,,Humanities,72L,In Class
ENG202H5,British Literature in the World I: Medieval to Eighteenth-Century,"This course serves as an introduction to influential texts that have shaped British literary history from Beowulf and Geoffrey Chaucer to William Shakespeare, from John Milton and Aphra Behn to Frances Burney. Students will focus on questions such as the range and evolution of poetic forms, the development of the theatre and the novel, and the emergence of women writers. The course will encourage students to think about the study of English literatures in relationship to history, including the history of world literatures.",Open to students who have successfully completed at least 4.0 full credits. Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,ENG202Y5,,Humanities,24L/12T,"In Class, Online (Summer only)"
ENG203H5,British Literature in the World II:  Romantic to Contemporary,"An introduction to influential texts that have shaped British literary history from the Romantic period to the present, covering developments in poetry, drama, and prose, from William Wordsworth to Zadie Smith and beyond. The course will address topics such as revolution and war; the increasing diversity of poetic forms; the cultural dominance of the novel; romanticism, Victorianism, modernism, and postmodernism; feminism; colonialism and decolonization; the ethnic and cultural diversity of Anglophone literature in the twentieth and twenty-first centuries; literature and sexual identity; the AIDS epidemic; and technology and the digital age. The course will encourage students to think about the study of English literatures in relationship to history, including the history of world literatures.",Open to students who have successfully completed at least 4.0 full credits. Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,ENG203Y5,,Humanities,24L/12T,"In Class, Online (Summer only)"
ENG204H5,How to Read Poetry,"This course gives students the tools they need to appreciate and understand poetry's traditional and experimental forms, specialized techniques, and diverse ways of using language. The course asks a fundamental question for literary studies: why is poetry is such an important mode of expression in so many different time periods, locations, and cultures?",Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,ENG201Y5,,Humanities,36L,In Class
ENG205H5,Rhetoric,"An introduction to the rhetorical tradition from classical times to the present with a focus on prose as strategic persuasion. Besides rhetorical terminology, topics may include the discovery and arrangement of arguments, validity in argumentation, elements of style, and rhetorical criticism and theory.",Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,WRI305H5,,Humanities,36L,In Class
ENG210Y5,The Novel,"An introduction to the novel through a reading of ten to twelve texts, representing a range of periods, techniques, regions, and themes.",Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,,,Humanities,72L,In Class
ENG211H5,Introduction to the Novel,"This course gives students a foundational understanding of the novel in English. It introduces them to the history of the novel, from medieval sagas and adventure stories to modern experiments with fragmentary narratives. The course covers novels from a range of geographical places; students will be asked to consider why the novel has been so successful in the past, and what its futures might be. Students will read at least one complete novel during the course and extracts from others.",Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,ENG210Y,,Humanities,36L,In Class
ENG214H5,The Short Story Cycle,"This course explores collections of short stories. It examines individual stories, the relationships among and between stories, the dynamics of the collection as a whole, and the literary history of this genre, along with its narrative techniques and thematic concerns.",Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,,,Humanities,36L,In Class
ENG215H5,The Canadian Short Story,"An introduction to the Canadian short story, this course emphasizes its rich variety of settings, subjects, and styles.",Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (exceptENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,,,,Humanities,36L,In Class
